,sido,sigungu,sales_all,sales_agriculture,sales_mine,sales_manufacture,sales_electricity,sales_disposal,sales_construction,sales_sale,sales_transportation,sales_accommodation,sales_info_com,sales_finance,sales_real_estate,sales_specialty,sales_management,sales_administration,sales_education,sales_health,sales_art,sales_association,elderly_pop_rate,elderly_pop,population,income_all,income_agriculture,income_mine,income_manufacture,income_electricity,income_disposal,income_construction,income_sale,income_transportation,income_accommodation,income_info_com,income_finance,income_real_estate,income_specialty,income_management,income_administration,income_education,income_health,income_art,income_association,group_sales,group_income
89,전라남도,장흥군,2354411,86794,NA,479315,30765,73095,202813,471568,30011,63250,12125,232439,4521,27733,5670,390362,58246,117749,27359,36794,34.2,12928,37800,24.82419649,22.51459854,NA,23.33018373,6.585227273,33.86864407,10.78002466,12.94502028,7.769230769,5.239675516,60.03296703,76.28070175,20.24210526,33.4517134,24.23333333,75.27252986,40.75601751,28.72928994,23.74137931,11.58428246,2,2
90,전라남도,진도군,1726369,53014,9799,152079,168734,33382,196059,464511,18746,72706,8882,129243,2888,12925,7803,241447,48356,65033,17178,23584,33.1,10325,31227,29.49160332,25.93442623,42.21428571,20.14705882,19.54738878,26.73504274,33.2166405,17.85678138,11.03492063,8.984459984,45.83333333,60.17,7.340909091,33.1496063,22.71794872,76.23846755,44.08906883,26.25413061,23.08366534,8.922010399,2,4
91,전라남도,함평군,2666682,141179,13821,621206,96051,25204,332114,540545,205239,55723,21800,121217,6813,19931,10826,274252,55197,85239,25266,15059,36.6,11720,32050,30.41992038,31.58773784,81.82352941,32.49762808,9.539641944,28.90070922,30.30608241,16.19186047,11.59450727,7.618764846,62.23584906,105.8666667,17.16666667,30.2826087,24.03875969,71.44132231,46.29513889,25.00443599,18.30794702,9.672794118,2,2
92,전라남도,해남군,5187463,268363,36596,1183661,194019,34237,441176,1108309,73393,117018,74027,563527,26278,37504,23792,572305,110359,219436,36949,66514,32.4,22293,68806,28.13341425,28.44974093,47.65454545,23.88022648,5.71011236,35.98305085,30.14441047,13.18963486,14.54711674,5.158967957,83.23369565,84.32488479,17.55102041,40.10485934,21.29710145,67.25915822,41.40747782,31.44096524,19.25454545,11.72175891,4,2
93,전라남도,화순군,4573735,80682,32598,849825,135080,50142,845013,840151,77259,145502,27380,184197,82740,154980,29990,392437,100944,455462,52631,36722,26.9,16791,62522,34.5834667,27.56834532,57.07575758,34.64098124,8.542113323,45.0617284,32.54365472,16.68702734,9.752192982,11.32860939,51.54375,123.8926554,24.10250569,38.05112782,31.96420582,94.79608373,45.5772242,44.78609415,21.0224359,10.97818599,4,1
94,경상북도,,303571010,1763137,327620,155695856,11159285,2798118,15697452,40946166,9038720,6794274,2053814,17381651,3089161,5370420,2864811,11902146,6126837,6786593,1493521,2281428,21.7,573715,2639422,36.24560603,38.46125352,47.09936407,52.72833517,49.47833567,50.83061066,30.81239427,16.91010438,20.05205268,8.641292985,55.7204757,76.34334019,23.73419756,50.60433651,36.60167733,71.70050973,42.74993005,28.78386132,21.7160038,12.05246979,NA,NA
95,경상북도,경산시,23978017,69721,27119,10384744,708849,202047,1494311,4302923,780306,574537,167189,1170987,744098,474673,215924,747258,1011112,564459,135758,202002,16.9,44579,263728,33.77333423,45.21875,58.89516129,43.78012048,37.35532995,56.76470588,37.0622276,18.23257297,22.71152,8.529709365,41.30413859,95.68859935,27.60237389,37.97670509,29.32775769,75.2015896,38.24548915,28.40764461,19.60980149,13.33601954,1,1
96,경상북도,경주시,32596668,165835,15793,16688415,2138689,435500,1500447,4059607,1035300,944883,106161,1186705,218269,1068564,574717,759360,741747,545120,222496,189060,22.6,57313,253502,38.38221128,42.31578947,56.45901639,51.03809156,92.21992819,64.5247732,38.08286433,17.61836989,21.51287752,11.76433121,44.41365979,74.15593047,21.17610454,65.67012762,43.33153261,70.5528974,54.06703609,23.27001845,22.03525641,11.33730074,1,3
97,경상북도,고령군,4658915,50702,14503,2648376,116618,102991,225331,764391,146643,43644,6662,104265,15499,14687,9676,223347,42299,73031,29875,26375,31.7,9941,31361,33.762507,44.63636364,45.82432432,38.19797156,27.9,46.51538462,24.2223382,20.18611714,8.715832206,5.740667976,43.09278351,108.8163265,17.9760479,32.11330049,22.86206897,78.24853801,46.05190311,28.57197258,26.01320132,17.7553719,2,1
98,경상북도,구미시,82146504,71180,12813,62194376,1021643,326165,1902675,5531370,1084836,1118818,372132,3646340,682692,384911,527120,913076,887134,941938,172186,355099,9.6,39998,416328,44.48707104,31.56948229,38.42592593,68.04998963,37.34837688,55.01805054,32.9688825,18.63433502,16.56045432,10.97273076,59.48095594,57.27811045,26.6847478,35.49962584,29.19938127,73.42877595,38.81595547,31.69682029,16.9456979,11.93043478,1,1
99,경상북도,군위군,2362526,23494,NA,622798,100472,15452,252176,569656,126203,88521,6819,144730,6585,25191,2970,217847,37118,49256,36352,13731,40.7,9461,23256,29.44257299,26.07971014,NA,38.81307064,15.34415584,32.62886598,22.79756098,19.49642218,13.57932692,13.58292683,58.68292683,98.72864322,7.054545455,37.70607029,14.75925926,64.70041152,55.87467363,12.56010101,36.46825397,13.50247525,2,2
100,경상북도,김천시,14219407,91746,29397,6346891,362280,193279,542062,1884764,1249515,272980,27141,850139,101550,570442,100565,813005,291590,364335,37718,90008,23.1,32520,140548,35.53342014,32.84257206,36.625,51.07436664,16.69640479,43.75708502,25.39512296,16.57403591,18.3187386,7.259415064,29.83,77.03968872,36.13195099,62.65031315,34.06233933,62.69208354,42.18985791,29.28107621,11.45800317,10.10361552,1,1
101,경상북도,문경시,4355350,53889,17160,1189957,137357,66989,288969,910455,89933,159907,63751,431956,48515,39745,23728,379429,119394,229868,46314,58034,30.2,21600,71406,28.00072474,47.05752212,44.66666667,32.4453524,16.53333333,53.03264095,28.23503236,13.76986301,17.68942731,7.437318724,72.11111111,86.45637584,16.04761905,34.33176471,22.47785548,79.62932662,42.72164352,21.85528107,25.31722689,10.68009868,4,4
102,경상북도,봉화군,2648853,27311,16353,1342630,111949,24553,206550,249445,34946,37560,19351,110744,8183,10589,5464,262328,53040,65873,40107,21877,36.7,11567,31494,35.08043011,36.82258065,41.18292683,42.8854719,17.68144044,28.19428571,35.82494647,12.40772871,38.95821727,3.450790861,66.65217391,112.5707547,13.93617021,43.34285714,28.67105263,64.77172196,50.61875946,33.71007928,35.28227571,12.09940358,2,2
103,경상북도,상주시,5845901,106146,10483,1246211,190373,32588,518960,1235200,273778,183373,78106,676087,35906,113399,57388,514837,194102,249997,66256,62711,31.3,30472,97228,26.63495757,41.00266667,30.73469388,25.63951358,5.530900968,35.71914894,24.12117086,15.28443687,8.131196795,7.041372675,65.47985348,80.00659341,20.48969072,45.09769484,25.24833703,68.1139341,42.75559503,24.84354708,30.8813314,10.33450088,1,2
104,경상북도,성주군,6025875,102584,20989,3291075,104346,76932,312057,936480,222812,88361,23760,231461,48993,30516,24755,283614,63833,111645,16420,35242,32.2,13971,43414,32.61813602,41.1031746,56.234375,38.16240277,10.08666667,37.0132626,31.01558551,18.17760459,11.02615933,6.115735462,57.578125,96.28888889,19.1468254,41.13225806,33.61734694,68.34400596,58.66998578,28.07751479,21.92694064,13.04770017,4,2
105,경상북도,안동시,12529222,177933,33114,1295183,1064887,95624,940999,3080562,317294,334526,291541,1520084,262239,279444,100437,1405112,423682,645376,95838,165347,24.7,39193,158907,34.67545539,37.13064133,46.5,29.57675865,85.93612565,41.04116223,24.06177156,17.88277902,22.14038936,7.422191315,65.41581109,80.09945839,26.31190476,41.89896907,27.30790441,81.26971188,43.63391934,37.08628052,22.75420875,12.52517763,1,1
